date,rating,review,year,month,weekday
2025-07-23,7,os bichinho sendo iguais ao de nausicaa,2025,7,2
2025-07-22,8,na terceira vez ainda melhor,2025,7,1
2025-07-22,9,really missed opportunity double dip nasha really loves man kai shouldve got piece lot long everything needed run time,2025,7,1
2025-07-22,7,entertaining kinda lost end didnt like able talk water bears plus many romance scenes made uncomfortable inappropriate,2025,7,1
2025-07-22,6,sauce never,2025,7,1
2025-07-23,9,youre expendable youre expended muito muito muito bom pqp robert pattinson um puta de um ator manda bem demais na real todos os atores aqui mandam bem pra caralho amei muito,2025,7,2
2025-07-22,10,long 17,2025,7,1
2025-07-23,8,robert pattinson thats thats review thats need hear watch movie love robert pattinson,2025,7,2
2025-07-22,7,obssessed sauce,2025,7,1
2025-07-22,8,mark ruffalo character study trump movie,2025,7,1
2025-07-23,8,deus deu asa cobra e nem dois robert pattinson pra gente,2025,7,2
2025-07-22,6,corny asf overall pretty fun 17s voice goofy lol,2025,7,1
2025-07-23,8,,2025,7,2
2025-07-22,6,guy bipolarity,2025,7,1
2025-07-22,9,really cool neato liked,2025,7,1
2025-07-22,7,watched awhile ago found beguiling yet also kind boring obsession rob pat continues however mean version hotter,2025,7,1
2025-07-23,7,crtica ao capitalismo e trama de fico cientfica bom mas poderia ser melhor n,2025,7,2
2025-07-23,9,uma fico que voa perto da nofico um filme absurdo mas real que fez rir de quo prximo da realidade,2025,7,2
2025-07-10,8,depth stuff yes also isnt exactly taste movies,2025,7,3
2025-07-22,10,gooooood,2025,7,1
2025-07-23,9,movie freaky weird love idk,2025,7,2
2025-04-27,6,bit let tbh also watched edible still felt meh last arc pretty sucky,2025,4,6
2025-07-22,8,strange concept fantastic acting cedric diggory,2025,7,1
2025-04-27,6,bit let tbh also watched edible still felt meh last arc pretty sucky,2025,4,6
2025-07-22,8,strange concept fantastic acting cedric diggory,2025,7,1
2025-07-22,10,robert pattinson,2025,7,1
2025-07-23,10,um dos melhores ano,2025,7,2
2025-07-23,10,vi da metade p final loved robert pattinson voce eh mto deliciudo,2025,7,2
2025-07-23,6,kkkkkk,2025,7,2
2025-07-22,6,think lost plot,2025,7,1
2025-04-26,6,cool concept funny moments drags wayyyy long,2025,4,5
2025-07-22,4,love mark ruffalo unfortunately hes evil must die,2025,7,1
2025-07-23,4,nul juste chiant point positif acteur beauc est tout ce que j ai aim trop long,2025,7,2
2025-07-22,8,bong joon ho knows make movie packed charm whimsey sprinkle unease bong joon ho become ultimate master mickey 17 isnt masterpiece masterful pieces robert pattinson adds another notch belt stellar strange performances,2025,7,1
2025-07-22,7,pattinson rules bonkers enough fun found mark ruffalo atrocious lot pieces dont really work whatver good enoguh,2025,7,1
2025-07-22,1,absolutely horrendous,2025,7,1
2025-07-22,7,nice,2025,7,1
2025-07-22,9,comeo e meio filme muito bomm depois acho q se perde um pouco da histria mas filme timo,2025,7,1
2025-07-22,9,hey mickey u fun,2025,7,1
2025-07-22,10,robert pattison carrea la pelcula entera un mundo totalmente nuevo los bichos tienen mucha ms humanidad que los mismos humanos,2025,7,1
2025-04-09,8,filme tava indo muito bem acabar com uma bobajada de mudar sistema por dentro juro aquele famoso final da festa da democracia burguesa que sempre estraga minha experincia cinematogrfica,2025,4,2
