date,rating,review,year,month,weekday,final_review
2025-03-02,10,미키 반스 영원하라ㅠㅠ봉준호 감독 예지력 어마어마하다.로버트 패틴슨은 헐리우드의 송강호다ㅎㅎ,2025,3,6,미키 반스 영원하라봉준호 감독 예지력 어마어마하다로버트 패틴슨은 헐리우드의 송강호다
2025-03-02,10,처음으로 영화 시작부터 끝까지 집중을 잃지 않고 몰입하고 본 영화였습니다 재밌었습니다,2025,3,6,처음으로 영화 시작부터 끝까지 집중을 잃지 않고 몰입하고 본 영화였습니다 재밌었습니다
2025-03-01,10,"SF라는 쟝르의 탈을 쓰고, 계급화된 현대 사회를 고발하는 블랙코미디 풍자극",2025,3,5,라는 쟝르의 탈을 쓰고 계급화된 현대 사회를 고발하는 블랙코미디 풍자극
2025-03-01,7,봉준호 감독의 신작이니 기대가 너무 크면 독이 되는듯,2025,3,5,봉준호 감독의 신작이니 기대가 너무 크면 독이 되는듯
2025-03-08,2,한국 영화가 망하는 이유.한국 평론가들 점수주는 거 보면 답 나옴이동진 8점 ㅋㅋ 패터슨 연기 빼곤볼 거 없고 왜 1800억이나 들었는지 의문인6점대가 어울리는 영화.,2025,3,5,한국 영화가 망하는 이유한국 평론가들 점수주는 거 보면 답 나옴이동진 점 패터슨 연기 빼곤볼 거 없고 왜 억이나 들었는지 의문인점대가 어울리는 영화
2025-03-02,10,우리가 지금 처한 현실같아 조금 슬펐음 ㅠㅠ 나를 돌아보고 앞으로도 생각해볼수있는 철학적인 영화였음!!,2025,3,6,우리가 지금 처한 현실같아 조금 슬펐음 나를 돌아보고 앞으로도 생각해볼수있는 철학적인 영화였음
2025-03-01,6,스토리는 너무 진부하고 예상 가능했음.그리고 인물들이 너무나도 평면적이다.뭔가를 가르치려 드는 느낌이 강하게 듦.독창성이 너무 부족하지 않았나 싶다.여러모로 아쉬운 영화였다.,2025,3,5,스토리는 너무 진부하고 예상 가능했음그리고 인물들이 너무나도 평면적이다뭔가를 가르치려 드는 느낌이 강하게 듦독창성이 너무 부족하지 않았나 싶다여러모로 아쉬운 영화였다
2025-03-09,1,역대 봉준호 영화중 가장 지루했음김치빠진 김치볶음밥,2025,3,6,역대 봉준호 영화중 가장 지루했음김치빠진 김치볶음밥
2025-03-03,4,"내가 무지해서 그런지, 감독의 숨은 의도를 도저히 찾지 못하겠다. 벌써 2번이나 봤는데.. 마치 현대예술인양 벽에 바나나 붙여놓고 열광받는 느낌이랄까",2025,3,0,내가 무지해서 그런지 감독의 숨은 의도를 도저히 찾지 못하겠다 벌써 번이나 봤는데 마치 현대예술인양 벽에 바나나 붙여놓고 열광받는 느낌이랄까
2025-03-02,10,슴슴한데 자꾸 생각난다.이상하게 재밌다.,2025,3,6,슴슴한데 자꾸 생각난다이상하게 재밌다
