date,rating,text
2025-03-23-,별점(10점 만점 중)1,여친때메 억지로 봤는데 재미는 없음. 내내 잔잔하기만함
2025-03-23-,별점(10점 만점 중)1,봉준호 영화가 맞는지 모르겠네. 정말 실망했습니다. 저예산 B급 블랙코미디 영화
2025-06-06-,별점(10점 만점 중)9,봉준호 감독 영화답다라는게 장점이자 단점
2025-04-03-,별점(10점 만점 중)8,생각보다 스토리가 뻔해서 아쉬움
2025-02-28-,별점(10점 만점 중)1,뻔한건 둘째치고많이 유치함
2025-05-31-,별점(10점 만점 중)8,미키17 영화 무난하게 잘 봤네요
2025-03-26-,별점(10점 만점 중)9,최근 본 영화중에 완성도가 높았음. 사회적으로 시끄러운 문제들이나 시사 이슈들을 담으려고 한 느낌. 사람들이 한번 쯤 생각해봤을 법한 내용을 담은 것이 좋았다.
2025-04-24-,별점(10점 만점 중)8,미래와 현재를 관통하는 SF. 굉장히 흥미롭게 관람했음.
2025-02-28-,별점(10점 만점 중)8,지구에서 밀려나 우주까지 기생하며 죽어야 사는 남자가 신성한 노동으로 역설하는 생명윤리적 가치철학
2025-05-12-,별점(10점 만점 중)10,SF 영화를 크게 좋아하지 않아서 기대하지 않았는데 생각보다 너무 재밌게 봤어요
2025-04-05-,별점(10점 만점 중)7,Mickey 17..:
2025-03-27-,별점(10점 만점 중)7,봉준호 감독 작품 중 가장 대사와 나레이션이 과도했던 작품. 그래서 중간에 피로도가 쌓인다. 그렇다고 패기있게 뭔가 다 쓸어버리는 결말도 아닌 흐름도 그렇고. 많이 유해지셨나? 란 의문이 들었다. 물론 전세계적으로 파시즘이 퍼지고 있는 상황에 ...
2025-02-28-,별점(10점 만점 중)9,아래에서 위로 올라가려는 것이 아니라 그저 인간으로 살고 싶을 뿐이야
2025-02-28-,별점(10점 만점 중)1,봉준호영화중에 제일재미없음
2025-03-26-,별점(10점 만점 중)10,"인간과기술, 윤리와혼란, 돌이켜보면지금의인간사"
2025-03-08-,별점(10점 만점 중)6,영화 미키 17 그저 그랬습니다
2025-04-14-,별점(10점 만점 중)7,영화에 담은 메시지가 매우 명확하고 친절한.. 나름 볼만했으나 기생충 대성공 이후 첫 작품이라 아쉬운건 사실임. 설정도 신박하고 배우들 연기도 좋은데 캐릭터들이 너무 단조로움 독재자부부가 제일 흥미롭다니 ㅋㅋㅋㅋ
2025-02-28-,별점(10점 만점 중)2,이거 1점 없나? 원수한테도 추천하고 싶지않다.
2025-03-09-,별점(10점 만점 중)1,..꽁트하는줄 알았음.. 후기 안보고 본 내탓.. 내용도 이상하고.. 가족이랑 절대 보면 안됩니다 ㅠ 에휴
2025-03-01-,별점(10점 만점 중)1,아 pc영화 진짜....
2025-03-23-,별점(10점 만점 중)10,봉준호 감독 영화입니다
2025-03-09-,별점(10점 만점 중)2,봉준호의 이름값이 안되는 영화.
2025-04-12-,별점(10점 만점 중)6,보는 것 자체가 힘들었던 영화... 그래도 주제의식은 좋음
2025-02-28-,별점(10점 만점 중)6,몰입을 억제하고 주제를 말하고싶었을까..시원하게 터지는 감정의 회오리도 약했고하고싶으셨던 이야기도 저에겐 다소 어려웠습니다
2025-04-14-,별점(10점 만점 중)6,"미키라는 존재가 끝내 17에게로 통합되지 못하듯, 서사, 캐릭터, 많은 요소들이 응집되지 못한 채 부유하며 끝난다."
2025-02-28-,별점(10점 만점 중)6,"설국열차+옥자+기생충 =미키17풍자를 유머로 표현했지만, 가볍지는 않은 스토리. 시원한 영상미. 그러나 약간의 진부함은 있다"
2025-02-28-,별점(10점 만점 중)6,기대가 크면 실망도 크다로버트 패틴슨 1인 2역은 훌룡함
2025-03-01-,별점(10점 만점 중)6,삐룩삐룩끼루루룩끼루루룩삐루루룩룩
2025-03-19-,별점(10점 만점 중)6,봉준호 이름값 아니면 안봤을 영화
2025-06-01-,별점(10점 만점 중)6,캐릭터성을 없애며 단순하게 내비치는 해피엔딩
2025-06-09-,별점(10점 만점 중)7,영화 미키17 잘 봤습니다.
2025-03-08-,별점(10점 만점 중)2,한국 영화가 망하는 이유.한국 평론가들 점수주는 거 보면 답 나옴이동진 8점 ㅋㅋ 패터슨 연기 빼곤볼 거 없고 왜 1800억이나 들었는지 의문인6점대가 어울리는 영화.
2025-03-01-,별점(10점 만점 중)10,재관람 할 것 같다. 연출 연기 다 좋았다.
2025-03-09-,별점(10점 만점 중)6,봉준호 소스가 부족해~~~
2025-03-29-,별점(10점 만점 중)10,많은 생각을 하게하는 스토리와 연출 잘 봤습니다
2025-03-24-,별점(10점 만점 중)1,이게 영화냐?기생충 작품성 생각하고 접근하면 안될듯그냥 ㅆㄹㄱ 변ㅌㅐ 영화같네요;;유치하고..
2025-07-21-,별점(10점 만점 중)10,호불호는 갈릴지언정 잘만든영화
