date,rating,text
2025-02-28T12:46:39+09:00,4,"감독 특유의 만화적인 연출, 풍자의 감각 등은 할리우드 프로덕션에서도 기능한다는 것을 여실히 증명한다. 다만 <미키 17>의 문제는 그 이상의 도약을 꿈꾸지 않고, 지나칠 정도로 원론적인 답변만을 제시한다는 것이다. <살인의 추억>의 응시, <설국열차>의 북극곰, <옥자>의 도축장, <기생충>의 수취인이 없는 편지와 같이 통상적인 영화가 선택할 범주 밖에서 꿈꾸는 지점이 없다. 물론 그의 영화가 이런 일관성을 갖춰야 한다는 법은 없지만, 그게 감독으로서의 봉준호를 생생히 살아있게 만든 지점이었다.  <미키 17>은 나쁘게 말하자면 안온한 제작 환경에서 만든 안일한 영화다. 사회적인 영화로 보자니 피상적이고 이분법적이며, SF 장르 영화로 보자니 지나치게 친절하고도 유치한 영화에서 어떤 매력을 느껴야 할지 의문이다. 영화 곳곳 여러 지점에서 그의 터치는 느껴지지만, 정작 그 손길의 본질은 들어있지 않다.  그래도 나쁘진 않다. 앞서 언급한 곳곳에 묻은 연출자의 감각을 목격하는 재미도 있고, 상당히 직관적인 풍자는 편안한 마음으로 보기에 적절하다. 다만 그 이상의 가치는 딱히 긍정하고 싶지 않다.  + <미키 17>은 특정한 키워드, 대사, 도상 등을 반복적으로 노출시켜 관객으로 하여금 그것에 깊은 함의가 있다는 착각이 들도록 유도한다. <기생충>에서부터 상당히 찜찜하게 다가왔던 부분(선, 냄새, '상징적'이라는 노골적인 대사 등의 반복)인데, <미키 17>에선 더욱 진부하게 반복(소스, 죽는 건 어떤 기분이냐는 질문 등) 된다. 무의미하게 남겨진 도상 뒤의 공백을 관객이 자발적으로 채우도록 유도하자니, 각 요소가 가진 힘이 부족하다. 무엇보다 이토록 쉽게 영화를 부풀리려는 태도를 지적하고 싶다."
2025-03-02T22:01:46+09:00,8,파들어갈수록 넓어지는 흥미진진한 역설이 새벽별처럼 반짝이는 유머에 담겼다.
2025-02-28T16:41:49+09:00,7,"상식이 무너지고 존엄을 짓밟는 게 일상이 된 시대라도, 최소한의 인간성을 지키려는 이들의 연대가 결국 세상을 구원하리란 믿음 혹은 소망."
2025-02-26T22:18:25+09:00,7,"나는 죽지 못해 사는 거뿐이라고 매일을 자조하며 일어나는 사람들이, 너는 다른 누군가로 쉽게 대체될 수 있다고 금방 버려지는 사람들이, 이건 다 내 업보라고 능력을, 신분을, 무엇을, 자신만 탓하는 사람들이, 결국엔 중대한 결정 앞에 무너지지 않고 우뚝 선다는 사실에 이를 악 물게 될 때가 있다. 그러니까 죽지 말고 삽시다. 그러니까 죽이지 말고 함께 살아갑시다. 제발요."
2025-02-26T06:40:12+09:00,8,"이건 너무 봉준호스러운데… (스포 있음)  영화 '미키17'(2월28일 공개)은 봉준호 영화를 망라한다. 25년 간 이어진 그의 필모그래피를 성실히 따라온 관객이라면 어떤 사전 정보 없이 이 작품을 보더라도 곧바로 봉준호 영화의 면면을 떠올릴 것이다. 어디서, 누구와, 얼마를 들여 만들든 상관 없다. 봉준호 영화는 봉준호 영화다. 봉준호의 세계를 아우르는 '미키17'은 그러면서도 그 익숙해진 세계의 새 가망을 점친다. 낯익은 것들 사이에 낯선 걸 던져놓고, 그때 생성되는 파동을 즐겨보는 것이다. 이 영화가 봉준호 영화의 지평을 넓힌다거나 새로운 경지를 보여준다고 할 순 없다. 앞서 내놓은 걸작들과 비교하면 상대적으로 충격과 파괴력이 떨어져 보이기도 한다. 그럼에도 불구하고 '미키17'이 '원 앤 온리(one & only)' 하다는 것까지 부정할 순 없다.  풍자와 냉소로 가득한 '미키17'은 봉 감독 필모그래피에서 가장 본격적인 블랙 코미디다. 우주 식민지를 안전하게 개척하는 과정에서 소모품으로 쓰이게 되는 남자 미키(로버트 패틴슨)의 여정엔 현실의 정치·경제·사회·문화를 빗댄 각종 설정과 이야기가 노골적이고 유머러스하게 담겼다. 가장 절망적인 형태의 계급 문제는 죽음의 외주화로, 최악의 형태로 붕괴된 민주주의는 정치의 종교화와 종교화된 정치가 탄생시킨 독재로 표현된다. 혐오와 배제의 역겨움은 온갖 대사에, 더 추악할 수 없는 자본주의의 민낯은 인간성을 상실한 인물들에 투영한다. 애초에 깊게 파고들어갈 생각이 없어 보이는 '미키17'은 말하자면 바로 지금 여기 우리 세계를 두루 관찰하며 포착한 나쁘고 못된 것들을 우스꽝스럽게 스케치한다.  에드워드 애쉬턴 작가가 2022년 내놓은 장편소설 '미키7'(2022)이라는 원작이 있는데도 '미키17'은 마치 봉준호에 절여 놓은 듯하다. 원작에선 역사학자인 미키가 영화에선 요식업에 실패해 사채업자에게 쫓기는 어리숙한 청년으로 바뀐 설정 같은 것이나 옥자를 즉각 떠올리게 하는 형태의 생명체가 등장한다는 것만 얘기하는 게 아니다. 이 영화엔 '기생충'(2019)의 설움이 있고, '옥자'(2016)의 전환이 있다. '설국열차'(2013)의 공간이 있으며, '마더'(2009)의 역설이 있다. '괴물'(2006)의 소동과 '살인의 추억'(2003)의 폭압이 있다. 결국 이것들은 다 '플란다스의 개'(2000) 때부터 일관되게 유지돼 온 세계관이다. '미키17'엔 마음만 먹으면 발견할 수 있고 연결해볼 수 있는 봉준호스러운 것들로 가득하다.  봉 감독이 앞선 영화들에서 다뤄온 주제가 빠짐 없이 담긴데다 전작이 가진 각기 다른 특색이 한 곳에 혼재돼 있어 이야기의 밀도가 차고 넘치는데도 '미키17'의 러닝타임 137분은 유려하기 만하다. 죽음과 프린팅을 오가다가 17번째 미키와 18번째 미키가 동시에 존재하게 되면서 본격적으로 요동치기 시작하는 이 이야기는 특정 메시지를 앞세우다가 길을 잃는 법도, 특정 콘셉트나 이미지에 함몰돼 머물러 있는 법도 없이 최대한 효율적이고 합리적인 방식으로 목표한 곳을 향해 전진한다. 다시 말해 '미키17'은 자연스럽지 않은 데가 없다. 새삼스러운 말이지만 이번 작품 역시 봉준호 영화가 언제나 그랬던 것처럼 정확하게 찍은 걸 합당하게 이어 붙여서 위트있는 리듬으로 나아간다.  그러면서 '미키17'은 이전에 봉준호 영화에 없던 해피엔딩이라는 생경한 풍경 역시 내보인다. 우리가 기억하는 봉 감독은 지독한 현실주의자. 그간 그는 영화 밖에서 실현될 수 없는 일이라면 영화 안에서 카타르시스로 활용해선 안 된다고 주장하는 것만 같았다. 그래서 기우는 결국 반지하방에 다시 갇혔야 했고(기생충), 옥자는 살았지만 나머지 슈퍼돼지는 죽어 나갔으며(옥자), 혁명은 실패하고 기차는 파괴됐다(설국열차). 모성(母性)은 아름다운 게 아니라 기괴했고(마더), 강두는 끝내 현서를 구하지 못했으며(괴물), 두만은 결국 범인을 잡지 못하지 않았나(살인의 추억). 이랬던 봉 감독은 8번째 영화에 이르러 의심할 여지가 없는 희망, 혹은 희망에서 몇 발자국 더 나아간 듯한 낙관을 꺼내 보인다.  봉준호 영화 최초의 해피엔딩은 봉준호 영화 최초의 로맨스와 함께 열린다. 그리고 이 사랑은 개인적이면서 사회적이다. 말하자면 봉 감독은 '미키17'에서만큼은 사랑이, 친절이, 자상함이, 연대가 사람을 그리고 세계를 변화시킬 수 있다고 믿는 것 같다. 미키는 나샤의 사랑 덕분에 저 고달픈 삶을 견딘다. 파국을 막은 한 행위가 미키와 나샤의 사랑 놀음(섹스 체위)이라는 건 또 어떤가. 인간과 크리퍼 간 가교 역할을 하는 건 영민하진 않아도 착하고 상냥한 미키다. 하나의 생명을 구하기 위해 모든 걸 거는 크리퍼와 생존을 위해 미키의 생명을 유린하는 인간 중 어느 게 더 나은 집단인지는 말할 것도 없다. 그렇게 '미키17'은 사랑의 승리라는 깃발을 꽂기 위해 절멸을 주장하는 극단주의자를 처단한다.  합당하고 옳은 결론이지만, '미키17'의 해피엔딩은 통속적이고 상투적이다. 봉 감독은 이 결론에 대해 ""이미 너무 많이 죽은 미키를 또 죽이는 것 같은 일은 할 수 없었다""고 했다. 또 ""50대가 됐고, 내 아들이 미키와 비슷한 나이이기도 해서 마음이 약해진 것 같다""고 말했다. 그러나 20여년 간 일관되게 이어져 온 봉 감독의 관점이 단 한 작품만에 극적으로 반전됐다는 걸 설명하기엔 충분해 보이지 않는다. 그렇다면 생각해볼 수 있는 건 하나 밖에 없다. 이 영화 순제작비는 1억1800만 달러, 홍보 비용 등이 더해지면 총 제작비는 1억5000만 달러(약 2150억원)로 추정된다. 이 규모를 고려할 때, '미키17'의 해피엔딩은 더 많은 관객이 더 편하게 이 작품을 즐길 수 있게 해주는 적절한 타협이었는지도 모른다.  파고 들어가기보다는 넓게 아우르고, 다소 관습적인 결론을 향해 가기 때문에 '미키17'은 어쩔 수 없이 무디다. 앞서 나온 봉준호 영화의 깊이와 예측불가능성을 생각해볼 때 상대적으로 아쉬움이 들 수밖에 없고, 전작 '기생충'과 같은 폭발력와 파괴력을 기대하는 관객에겐 성에 차지 않을 수도 있다. 봉 감독 필모그래피를 보통의 관객보다 더 진지하게 지켜봐온 관객에게 '미키17'은 어쩌면 이번에도 예상을 벗어나지 않고 너무 봉준호스러워서 동어반복처럼 느껴질 수도 있다. 이번에도 '플란다스의 개' '살인의 추억' '괴물' '마더' '기생충' 등 봉 감독의 한국영화는 여전히 '설국열차' '옥자' '미키17' 등 봉 감독의 미국영화를 압도한다.  그럼에도 불구하고 '미키17'은 정치 풍자라는 특정 카테고리 내에서 두고 두고 회자될 것이다. 역사는 반복되고 경지에 오른 예술가는 다가올 세계의 징조를 읽어 낸 뒤 미래를 예견한다고들 말하는데, 봉 감독은 이 말이 결코 과장이 아니라는 걸 증명한다. '미키17'의 풍자는 극 중 마셜(마크 러팔로)·일파(토니 콜렛) 부부가 현실 정치인을 떠올리게 하는 언행을 일삼는다는 데서 그치지 않는다. 관객이 경험으로 내재화 한 나쁜 정치(인)의 탄생부터 몰락까지 핵심 과정을 압축·요약 해놨기에 '미키17'은 유치한 패러디가 아니라 고도의 풍자로 도약한다. 시나리오 완성은 2021년, 촬영 종료는 2022년. 실제 사건이 영화에서 미리 구현된 듯한 일부 장면에선 봉 감독의 신묘함이 느껴지기까지 한다."
2025-02-28T11:19:50+09:00,5,"원래 이렇게 전개를 긴장감 없이 하셨었나... 선악구도 확실한 평면적 인물들도 너무 매력 없고... 헐리우드 자본 업고 하고 싶으신 것 다 하신 것 같긴 한데 그래서인지 기시감도 들고... 크리처에 설밭의 독재자 흠 계급 이야기, 과학 윤리, 모 정치인, 독재와 횡포, 핵 전쟁, 식민주의, 환경 문제, 인권, 동물권, 종교, 퀴어 등등 너무 꽉꽉 눌러담았다. 대부분 겉핥기식 언급 정도에 그쳤고 말이다. 원작에서 얼마나 옮겨온지는 모르겠으나 잘 어우러지게 하는 것이 어려웠다면 좀 덜었으면 어땠을지. 몇몇 인물들은 없어도 그만인 듯 단순 소비된 것 같던데... 걍 넷플릭스 영화 같음."
2022-01-21T01:29:06+09:00,9,현실의 씁쓸함보다 도덕적 휴머니즘을 수면 위로 띄운 봉준호의 따스한 우화.
2025-02-28T13:46:22+09:00,7,취향은 미키18 인류는 17이 구하렴
2025-02-26T23:37:23+09:00,8,"현실 사회엔 훨씬 더 많은 미키1, 미키2가 있다.  우리나라 한 해 산업재해로 목숨을 잃는 노동자. 2021년 2,080명. 2022년 2,223명. 2023년 2,016명.  전혀 당연하지 않지만, 우리는 기억하지 않는 노동자들의 죽음. 전혀 당연하지 않는 죽음. . 봉준호 장르를 따르면서도, 감독 스스로를 새로 개척하고 확장하는 새 챕터의 영화."
2025-02-20T21:52:37+09:00,10,사랑이 17을 지우고 반스를 적는다
